{timestamp: 2018-11-27T13:09:37.523Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-27T13:10:02.011Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-27T13:11:04.699Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-27T13:28:03.665Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-27T13:28:12.972Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-27T13:28:54.579Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-27T13:29:28.005Z, level: error, message: API not found}
{timestamp: 2018-11-27T13:29:53.458Z, level: error, message: API not found}
{timestamp: 2018-11-27T13:41:08.109Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T05:58:05.961Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:03:24.687Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:05:19.267Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:05:48.113Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:06:37.878Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:07:12.816Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:10:07.228Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:11:03.706Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:11:51.045Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:12:06.536Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:13:02.828Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:13:05.868Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:14:23.018Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:15:12.566Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:16:28.440Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:17:55.842Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:19:03.332Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:19:49.382Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:21:04.263Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:21:11.507Z, level: error, message: validParam is not defined}
{timestamp: 2018-11-28T06:21:58.691Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:22:01.892Z, level: error, message: validParam is not defined}
{timestamp: 2018-11-28T06:33:51.791Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:34:18.690Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:34:32.318Z, level: error, message: validParam is not defined}
{timestamp: 2018-11-28T06:35:03.923Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:35:22.621Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:35:31.494Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:35:43.575Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:40:25.764Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:40:28.780Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:43:41.971Z, level: info, message: server started on port 4040 (development)}
