{timestamp: 2018-11-27T13:11:04.699Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-27T13:28:03.665Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-27T13:28:12.972Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-27T13:28:54.578Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-27T13:29:28.005Z, level: error, message: API not found}
{timestamp: 2018-11-27T13:29:53.458Z, level: error, message: API not found}
{timestamp: 2018-11-27T13:41:08.109Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T05:58:05.960Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:03:24.687Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:05:19.266Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:05:48.113Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:06:37.877Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:07:12.815Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:10:07.228Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:11:03.706Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:11:51.045Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:12:06.536Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:13:02.827Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:13:05.867Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:14:23.017Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:15:12.566Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:16:28.439Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:17:55.841Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:19:03.331Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:19:49.381Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:21:04.262Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:21:11.507Z, level: error, message: validParam is not defined}
{timestamp: 2018-11-28T06:21:58.691Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:22:01.892Z, level: error, message: validParam is not defined}
{timestamp: 2018-11-28T06:33:51.791Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:34:18.690Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:34:32.318Z, level: error, message: validParam is not defined}
{timestamp: 2018-11-28T06:35:03.922Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:35:22.621Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:35:31.493Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:35:43.574Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:40:25.764Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:40:28.779Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:43:41.970Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:45:35.773Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:46:13.166Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:46:20.599Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:46:27.691Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:46:35.515Z, level: error, message: Cannot read property 'validate' of undefined}
{timestamp: 2018-11-28T06:52:50.129Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:52:51.750Z, level: error, message: Cannot read property 'validate' of undefined}
{timestamp: 2018-11-28T06:57:11.852Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:57:31.016Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:58:38.049Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:58:44.651Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:59:12.351Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:59:44.742Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T07:00:24.402Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T07:02:45.079Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T07:04:37.502Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T07:04:41.816Z, level: error, message: autoFormat is not defined}
{timestamp: 2018-11-28T07:05:40.379Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T07:06:25.914Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T07:06:30.836Z, level: error, message: Model.find is not a function}
{timestamp: 2018-11-28T07:17:26.936Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T07:37:08.479Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T07:38:34.796Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T07:42:58.523Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T08:40:36.355Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T08:40:49.285Z, level: error, message: commonMysqlService is not defined}
